T001,Кофе молотый "Арбуз",50,1,ООО "Импорт Плюс",Бразилия,350,Склад,Москва
T002,Чай зеленый пакетированный,200,2,ЗАО "Продукты 24",Китай,120,Магазин,Санкт-Петербург
T003,Молоко пастеризованное 3% жирн.,150,3,ООО "Молочный Мир",Россия,70,Склад,Екатеринбург
T004,Рис длиннозерный шлифованный,100,1,ООО "АгроТех",Таиланд,80,В пути,Новосибирск
T005,Масло подсолнечное рафинированное,80,2,АО "Маслопродукт",Таиланд,110,Магазин,Ростов-на-Дону
T006,Картофель свежий очищенный,300,3,ИП Иванов А.А.,Россия,50,Склад,Краснодар
T007,Хлеб ржаной,120,1,ОАО "Хлебозаводы",Россия,35,Магазин,Нижний Новгород
T008,Сахар белый кристаллический,250,2,ООО "Россахар",Беларусь,60,Склад,Самара
T009,Шоколад молочный премиум-класса,60,3,ЗАО "Дары Востока",Швейцария,500,В пути,Омск
T010,Сок апельсиновый свежевыжатый,70,1,ООО "Фреш Фрут",Турция,180,Магазин,Уфа
T011,Вода минеральная газированная,180,2,ООО "АкваМир",Италия,90,Склад,Челябинск
T012,Консервы рыбные тунца,120,3,ООО "Рыба-Торговля",Япония,250,В пути,Красноярск
T013,Макароны спагетти высшего сорта,200,1,ООО "Макаронные продукты",Италия,120,Магазин,Воронеж
T014,Печенье овсяное с шоколадом,150,2,ООО "Конфет-Юга",Германия,150,Склад,Саратов
T015,Колбаса вареная докторская,90,3,ООО "Колбасы-Россия",Россия,450,Магазин,Пермь
T016,Мясо курицы охлаждённое филе,60,1,ИП Петров Ю.Н.,Россия,300,Склад,Иркутск
T017,Бананы свежие,250,2,ООО "Экспорт Продуктов",Эквадор,80,В пути,Хабаровск
T018,Гречка ядрица,180,3,АО "Злак-продукт",Россия,70,Магазин,Владивосток
T019,Сыр голландский твёрдый,100,1,ООО "СырПродукт",Голландия,600,Cклад,Ярославль
T020,Йогурт натуральный классический,150,2,ООО "Молочная Лавка",Финляндия,100,Магазин,Тюмень
T021,Курица гриль полуфабрикат,80,3,ООО "МясПром",Россия,350,Склад,Калининград
T022,Грибы шампиньоны свежие,120,1,ООО "Грибторг",Польша,180,В пути,Оренбург
T023,Салат Цезарь готовый,90,2,ООО "Салат-Центр",Россия,250,Магазин,Сочи
T024,Креветки замороженные королевские,60,3,ООО "Морепродукты+",Вьетнам,800,Склад,Белгород
T025,Майонез столовый премиального качества,150,1,ООО "Майонезофф",Франция,150,В пути,Астрахань
T026,Торт бисквитный шоколадный,100,2,ООО "Кондитер-Плюс",Россия,500,Магази,Пенза
T027,Варенье клубничное домашнее,80,3,ИП Сидоров Г.И.,Россия,200,Склад,Саранск
T028,Виноград зелёный свежий,120,1,ООО "Южные фрукты",Чили,150,В пути,Махачкала
T029,Орех грецкий сушеный,100,2,ООО "Орэкс",Казахстан,400,Магазин,Магнитогорск
T030,Мед липовый натуральный,60,3,ООО "Медовый край",Алтайский край,600,Склад,Тольятти
